openalex_id,doi,title,phrase,year,adjudication
W4414552757,10.3389/fphar.2025.1665419,Pharmacological modulation of the gut-brain axis: psychobiotics in focus for depression therapy,as an AI language model,2025.0,true_artifact
W4405736600,10.3389/fpsyg.2024.1499759,Perceived discrimination as a predictor of cyberbullying: the mediating role of self-esteem and moderating role of self-compassion,as an AI language model,2024.0,true_artifact
W4394710470,10.31219/osf.io/vwfbd,Direct ink writing with dental composites: A paradigm shift toward sustainable chair-side production,as an AI language model,2024.0,true_artifact
W4414124196,10.18267/j.aip.279,Data Quality in Estimates from Probability-Based Online Panels: Systematic Review and Meta-Analysis,as an AI language model,2025.0,true_artifact
W4417359288,10.1080/17843286.2025.2601013,Safety and efficacy of an outpatient parenteral antimicrobial therapy program at a tertiary hospital in Belgium: a monocentric retrospective observational study,as an AI language model,2025.0,true_artifact
W4406949315,10.1177/01427237251313567,Semantic and phonological associative norms of 145 French words for children aged 5–9 years: Free associations and forced-choice task,as an AI language model,2025.0,true_artifact
W4415380984,10.1080/29974100.2025.2573928,The relational shift: why we need “AI Psychology” Now as a core field,as an AI language model,2025.0,filter_miss_ai_subject
W4386804689,10.3776/ncl.v81i1.5431,"Complete Issue - Vol 81, No 1 (2023)",as an AI language model,2023.0,unclear
W4412595708,10.3390/app15158170,Cross-Platform Comparison of Generative Design Based on a Multi-Dimensional Cultural Gene Model of the Phoenix Pattern,as an AI language model,2025.0,filter_miss_ai_subject
W4415226819,10.1016/j.eswa.2026.133691,AIMSDistill: Distilling knowledge from specialised AI teachers for cross-jurisdictional compliance analysis of modern slavery statements,as an AI language model,2026.0,filter_miss_ai_subject
W4416066310,10.30935/cedtech/17406,"AI and higher education: Understanding faculty roles in teaching, research, and administration",as an AI language model,2025.0,filter_miss_ai_subject
W4412676423,10.1080/1369118x.2025.2537803,Governance of discriminatory content in conversational AIs: a cross-platform and cross-cultural analysis,"as a large language model, I",2025.0,filter_miss_ai_subject
W7141278922,10.1007/s00339-026-09533-y,Improving functional properties in Cr2O3 thin films through annealing: a route toward sustainable materials engineering,as an AI language model,2026.0,true_artifact
W4401285217,10.62476/ndi82261,"ARCHITECTURAL KNOWLEDGE: LACKING A KNOWLEDGE SYSTEM, THE PROFESSION REJECTS HEALING ENVIRONMENTS THAT PROMOTE HEALTH AND WELL-BEING",as an AI language model,2024.0,true_artifact
