openalex_id,doi,title,phrase,year,field,type,abstract
W4414552757,10.3389/fphar.2025.1665419,Pharmacological modulation of the gut-brain axis: psychobiotics in focus for depression therapy,as an AI language model,2025.0,"Biochemistry, Genetics and Molecular Biology",article,"Major depressive disorder (MDD) is a multifactorial condition shaped by neurobiological, psychological, and environmental influences. Recent evidence highlights the gut-brain axis (GBA), a bidirectional communication system linking the gastrointestinal tract and central nervous system, as an important contributor to MDD pathogenesis via microbiota-mediated mechanisms. This narrative review synthesizes findings from preclinical and clinical studies published in the last decade, with emphasis on mechanistic insights from animal models and translational data from human cohorts. Key pathways include the microbial regulation of neurotransmitter production, immune modulation, vagus nerve signalling, and the metabolism of short-chain fatty acids (SCFAs). Dysbiosis in MDD is frequently characterized by reductions in butyrate-producing genera and elevations in pro-inflammatory taxa which have been linked to neuroinflammation, impaired neurotransmitter synthesis, and hypothalamic-pituitary-adrenal (HPA) axis dysregulation. Interventions such as probiotics, prebiotics, synbiotics, and psychobiotics show promise in alleviating depressive symptoms by modulating the gut microbiota. Emerging evidence also supports the beneficial roles of postbiotics, non-viable microbial products with immunomodulatory and neuroactive potential. Overall, microbial modulation offers a novel adjunctive strategy for depression management, particularly in treatment-resistant cases or to reduce the side effects of conventional drugs. However, heterogeneity in study design, small sample sizes, and limited causal evidence underscore the need for rigorous, large-scale trials. Future directions should prioritize identification of microbial biomarkers, optimization of strain-specific and dose-response data, and integration of gut-targeted approaches into personalized mental healthcare."
W4405736600,10.3389/fpsyg.2024.1499759,Perceived discrimination as a predictor of cyberbullying: the mediating role of self-esteem and moderating role of self-compassion,as an AI language model,2024.0,Psychology,article,"With the popularity of the internet, cyberbullying has emerged as an increasingly serious social issue, particularly affecting college students’ behavioral health. This study explores the relationship between perceived discrimination and cyberbullying, as well as the mediating role of self-esteem and the moderating role of self-compassion (SC) in this relationship. Using a longitudinal design, data were collected from 892 Chinese college students (414 females, 478 males) in two waves spanning 1 year. The present study measured the compassionate self-responding (CS) and reduced uncompassionate self-responding (RUS) as the two dimensions of self-compassion. The study found that (1) perceived discrimination was significantly and positively correlated with cyberbullying ( r = 0.085, p &amp;lt; 0.05); (2) self-esteem mediated the relationship between perceived discrimination and cyberbullying (Indirect effect = 0.010, SE = 0.004, Boot 95% CI [0.003, 0.019]); (3) RUS moderated both the direct relationship between perceived discrimination and cyberbullying ( b = −0.045, SE = 0.019, 95% CI [−0.082, −0.008]) as well as the indirect relationship through self-esteem ( b = −0.081, SE = 0.033, 95% CI [−0.146, −0.015]). Simple slope analysis revealed that college students with high RUS exhibited less cyberbullying when facing discrimination, while those low in RUS were more likely to engage in cyberbullying. The SC exhibited similar moderating effects, but CS did not demonstrate significant moderating effects in those relationships. This study sheds light on the complex interplay between perceived discrimination, self-esteem, self-compassion, and cyberbullying and offers novel insights into the psychological mechanisms underlying cyberbullying among college students. The findings underscore the importance of interventions aimed at enhancing self-esteem and fostering self-compassion, particularly by addressing uncompassionate self-responding, as a strategy to prevent cyberbullying"
W4394710470,10.31219/osf.io/vwfbd,Direct ink writing with dental composites: A paradigm shift toward sustainable chair-side production,as an AI language model,2024.0,Dentistry,preprint,"(Accepted manuscript)Objectives: To evaluate the dimensional accuracy of occlusal veneers printed using a novel direct ink writing (DIW) system and a clinically approved dental composite.Methods: A novel three-dimensional printer was developed based on the extrusion-based DIW principle. The printer, constructed primarily with open-source hardware, was calibrated to print with a flowable resin composite (Beautifil Flow Plus). The feasibility of this technology was assessed through an evaluation of the dimensional accuracy of 20 printed occlusal veneers using a laboratory confocal scanner. The precision was determined by pairwise superimposition of the 20 prints, resulting in a set of 190 deviation maps used to evaluate between-sample variations.Results: Without material waste or residuals, the DIW system can print a solid occlusal veneer of a maxillary molar within a 20-minute timeframe. Across all the sampled surface points, the overall unsigned dimensional deviation was 30.1 ± 20.2 µm (mean ± standard deviation), with a median of 24.4 µm (interquartile range of 22.5 µm) and a root mean square value of 36.3 µm. The pairwise superimposition procedure revealed a mean between-sample dimensional deviation of 26.7 ± 4.5 µm (mean ± standard deviation; n = 190 pairs), indicating adequate precision. Visualization of the deviation together with the nonextrusion movements highlights the correlation between high-deviation regions and material stringing.Significance: This study underscores the potential of using the proposed DIW system to create indirect restorations utilizing clinically approved flowable resin composites. Future optimization holds promise for enhancing the printing accuracy and increasing the printing speed."
W4414124196,10.18267/j.aip.279,Data Quality in Estimates from Probability-Based Online Panels: Systematic Review and Meta-Analysis,as an AI language model,2025.0,Social Sciences,review,"Background: General population surveys now increasingly use nonprobability samples from access panels instead of probability-based methods, which often leads to lower-quality estimates.In response, many official and academic surveys have adopted probability-based online panels (PBOPs), which use probability sampling and retain participants for follow-up surveys.While these panels reduce costs compared to one-time surveys, they still face low response rates and other challenges that may affect data quality.Objective: This study aimed to assess the accuracy of PBOPs by synthesising evidence on relative bias (RB), and to examine how RB varies by country, domain, measurement level, and item sensitivity.Methods: A systematic review yielded 44 eligible studies from 12 countries, and 1,897 effect sizes of absolute RB from studies that compared PBOP estimates to benchmarks.A three-level random effects meta-analytic model accounted for variance across studies, within studies and sampling variance.Moderator analyses evaluated the influence of country, item topic, measurement level and sensitivity on RB.Sensitivity analyses excluded the top 5% of RB outliers to test robustness.Results: The pooled RB was 23.14% (95% CI: 18.38%-27.91%)and heterogeneous.Most variance was attributed to within-study item-level differences.Country and topic did not significantly moderate RB.Items with high topic sensitivity had significantly higher RB (+19.33%)than items with no sensitivity.Ordinal items had significantly lower RB than nominal (-14.90%).However, when sensitivity and measurement level were modelled together, substantial residual heterogeneity remained.Conclusion: While PBOPs offer cost and logistical advantages, they require careful design considerations to lower substantial bias, especially regarding item sensitivity and measurement scale.PBOPs may not be suitable for certain question types, like sensitive or low-prevalence behaviours, especially when high accuracy is needed.Improve"
W4417359288,10.1080/17843286.2025.2601013,Safety and efficacy of an outpatient parenteral antimicrobial therapy program at a tertiary hospital in Belgium: a monocentric retrospective observational study,as an AI language model,2025.0,Medicine,article,"OBJECTIVES: Outpatient parenteral antimicrobial therapy (OPAT) offers a safe, effective, and resource-sparing alternative to inpatient treatment for various infections. Despite its widespread adoption globally, the implementation of OPAT programs in Belgium has been limited until recently. This study evaluates the safety, efficacy and healthcare impact of an OPAT program at a university hospital in Liège, Belgium. METHODS: We conducted a retrospective observational study at a 1038-bed tertiary teaching hospital, including patients who received OPAT between January 2018 and December 2021. Electronic medical records were reviewed for demographics, diagnoses, treatment regimens, adverse events, and outcomes. Potential risk factors for adverse events and treatment failure were investigated. RESULTS: A total of 352 OPAT episodes in 327 patients were analyzed. The most frequent indications were bloodstream infections (29.8%) and urinary tract infections (27.8%). Continuous antibiotic administration was used in 60.6% of cases, with a median OPAT duration of 16 days. Clinical cure was achieved in 86.4% of patients. Unplanned readmission linked to OPAT, infection-related death, drug-related adverse events, and line-related complications occurred in 8.2%, 1.1%, 5.1%, and 4.2% of episodes, respectively. Risk factors for adverse outcomes were identified, including cirrhosis, hematological malignancies, osteoarticular infections, chronic renal failure, and the use of specific antibiotics. The program avoided a mean of 1692 hospitalization days per year, underscoring its significant healthcare impact. CONCLUSION: This study highlights the favorable outcomes and safety profile of the OPAT program at our tertiary teaching hospital. Tailored interventions and careful antibiotic selection are warranted for specific patient groups."
W4406949315,10.1177/01427237251313567,Semantic and phonological associative norms of 145 French words for children aged 5–9 years: Free associations and forced-choice task,as an AI language model,2025.0,Psychology,article,"This study aimed to establish normative data for 145 words using phonological and semantic association tasks with 242 French schoolchildren, ranging from ages 5 (Grande Section) to 8 (Cours Elémentaire 2), providing a fundamental resource for future research and educational planning. The participants were engaged in two primary tasks: a free association task, entailing image recognition followed by phonological or semantic word association and a forced-choice task, involving choosing semantically or phonologically related images from options. Overall, there were more associations produced for semantic associations than phonological ones; however, there was a greater variety of phonological associations than semantic ones. We found that 5-year-old children performed better in semantic tasks by choosing expected associates compared to phonological tasks. However, this difference was not present in older children. This suggests that phonological networks develop more gradually than semantic ones, with phonological awareness continuing to improve with age while semantic stability is reached earlier. The established norms offer a framework for educators, clinicians, and researchers in understanding and assessing the semantic and phonological associative strategy of children in early educational settings within the French context."
W4415380984,10.1080/29974100.2025.2573928,The relational shift: why we need “AI Psychology” Now as a core field,as an AI language model,2025.0,Social Sciences,article,"Artificial intelligence (AI) is rapidly shifting from tools to integrated relational partners, reshaping human psychological experience. Existing frameworks, including Cyberpsychology and Human–Computer Interaction, capture only part of the resulting cognitive, emotional, developmental, and social dynamics. This paper presents a conceptual framework and a position statement that argues for the formal establishment of AI Psychology as a distinct and essential interdisciplinary field. AI Psychology focuses on the scientific study of human behavior, cognition, emotion, and well-being as they are shaped by interactions with AI systems perceived as relational agents, with priority given to human responses rather than the machine’s internal state. The need for this field arises from AI’s expanding roles as companion, collaborator, and competitor; documented psychological effects such as attachment formation, trust calibration, and cognitive interdependence; and the limits of current disciplines to explain these human–AI dynamics.The paper proposes a roadmap that identifies core research priorities, outlines academic program development, and calls for professional standards and ethical guidelines. AI Psychology is presented as more than a timely specialization. It is a foundational evolution for psychology, crucial for explaining the human condition in an increasingly AI-mediated world and for sustaining the discipline’s scientific and societal relevance."
W4386804689,10.3776/ncl.v81i1.5431,"Complete Issue - Vol 81, No 1 (2023)",as an AI language model,2023.0,Environmental Science,article,
W4412595708,10.3390/app15158170,Cross-Platform Comparison of Generative Design Based on a Multi-Dimensional Cultural Gene Model of the Phoenix Pattern,as an AI language model,2025.0,Engineering,article,"The rapid development of generative artificial intelligence has paved the way for a new approach to reproduce and intelligently generate traditional patterns digitally. This paper focuses on the traditional Chinese phoenix pattern and constructs a “Phoenix Pattern Multidimensional Cultural Gene Model” based on the grounded theory. It summarises seven semantic dimensions covering composition pattern, pixel configuration, colour system, media technology, semantic implication, theme context, and application scenario and divides them into explicit and implicit cultural genes. The study further proposes a control mechanism of “semantic label–prompt–image generation”, constructs a cross-platform prompt structure system suitable for Midjourney and Dreamina AI, and completes 28 groups of prompt combinations and six rounds of iterative experiments. The analysis of the results from 64 user questionnaires and 10 expert ratings reveals that Dreamina AI excels in cultural semantic restoration and context recognition. In contrast, Midjourney has an advantage in composition coordination and aesthetic consistency. Overall, the study verified the effectiveness of the cultural gene model in generating AIGC control. It proposed a framework for generating innovative traditional patterns, providing a theoretical basis and practical support for the intelligent expression of cultural heritage."
W4415226819,10.1016/j.eswa.2026.133691,AIMSDistill: Distilling knowledge from specialised AI teachers for cross-jurisdictional compliance analysis of modern slavery statements,as an AI language model,2026.0,Social Sciences,article,"Modern slavery in global supply chains remains a critical concern, prompting governments in countries such as the UK, Australia, and Canada to introduce corporate transparency legislation, including Modern Slavery Acts. However, the growing volume of compliance reports has made manual analysis increasingly impractical. This challenge is compounded by the fact that many government agencies and NGOs responsible for assessing these statements operate in resource-constrained environments, limiting their ability to deploy large-scale language models. To address both issues, we present a novel AI framework for cross-jurisdictional compliance analysis. Our approach integrates four specialised teacher models, each trained using contrastive learning, prompt engineering, pseudo-labelling, and context-enhanced learning, which are distilled into a single lightweight, computationally efficient student model. This design enhances generalisability across legal frameworks while remaining affordable to deploy in low-resource settings. Experimental evaluations demonstrate that our method achieves higher accuracy and efficiency than existing approaches, offering a scalable, accessible solution for regulators and other stakeholders."
